origin,destination,year,inflows
Czech Republic,Hungary,2003,0
Czech Republic,Hungary,2004,0
Czech Republic,Hungary,2005,84
Czech Republic,Hungary,2006,55
Czech Republic,Hungary,2007,44
Czech Republic,Hungary,2008,54
Czech Republic,Hungary,2009,89
Czech Republic,Hungary,2010,70
Czech Republic,Hungary,2011,56
Czech Republic,Hungary,2012,63
Czech Republic,Hungary,2013,64
Czech Republic,Hungary,2014,60
Czech Republic,Hungary,2015,65
Czech Republic,Hungary,2016,79
Czech Republic,Iceland,2000,11
Czech Republic,Iceland,2001,10
Czech Republic,Iceland,2002,6
Czech Republic,Iceland,2003,4
Czech Republic,Iceland,2004,10
Czech Republic,Iceland,2005,9
Czech Republic,Iceland,2006,102
Czech Republic,Iceland,2007,118
Czech Republic,Iceland,2008,111
Czech Republic,Iceland,2009,58
Czech Republic,Iceland,2010,40
Czech Republic,Iceland,2011,38
Czech Republic,Iceland,2012,26
Czech Republic,Iceland,2013,62
Czech Republic,Iceland,2014,114
Czech Republic,Iceland,2015,142
Czech Republic,Iceland,2016,197
Czech Republic,Italy,2000,418
Czech Republic,Italy,2002,272
Czech Republic,Italy,2003,979
Czech Republic,Italy,2004,872
Czech Republic,Italy,2005,544
Czech Republic,Italy,2006,550
Czech Republic,Italy,2007,891
Czech Republic,Italy,2008,620
Czech Republic,Italy,2009,555
Czech Republic,Italy,2010,496
Czech Republic,Italy,2011,428
Czech Republic,Italy,2012,389
Czech Republic,Italy,2013,257
Czech Republic,Italy,2014,253
Czech Republic,Italy,2015,211
Czech Republic,Italy,2016,212
Czech Republic,Luxembourg,2000,21
Czech Republic,Luxembourg,2001,22
Czech Republic,Luxembourg,2002,15
Czech Republic,Luxembourg,2003,66
Czech Republic,Luxembourg,2004,90
Czech Republic,Luxembourg,2005,160
Czech Republic,Luxembourg,2006,117
Czech Republic,Luxembourg,2007,104
Czech Republic,Luxembourg,2008,111
Czech Republic,Luxembourg,2009,94
Czech Republic,Luxembourg,2010,88
Czech Republic,Luxembourg,2011,109
Czech Republic,Luxembourg,2012,81
Czech Republic,Luxembourg,2013,63
